epoch   0 | batch      0 | examples/s:   1.1 | loss: 0.14058 | time elapsed: 00h00m49s | time left: 00h00m00s
epoch   0 | batch    250 | examples/s:  23.4 | loss: 0.13412 | time elapsed: 00h03m26s | time left: 15h10m26s
epoch   0 | batch    500 | examples/s:  34.8 | loss: 0.11486 | time elapsed: 00h06m06s | time left: 13h24m48s
epoch   0 | batch    750 | examples/s:  28.6 | loss: 0.12651 | time elapsed: 00h08m43s | time left: 12h43m13s
epoch   0 | batch   1000 | examples/s:  30.0 | loss: 0.11546 | time elapsed: 00h11m17s | time left: 12h17m34s
epoch   0 | batch   1250 | examples/s:  24.2 | loss: 0.12024 | time elapsed: 00h13m57s | time left: 12h07m08s
epoch   0 | batch   1500 | examples/s:  35.3 | loss: 0.11531 | time elapsed: 00h16m41s | time left: 12h01m35s
epoch   0 | batch   1750 | examples/s:  24.2 | loss: 0.11633 | time elapsed: 00h19m19s | time left: 11h53m32s
epoch   0 | batch   2000 | examples/s:  23.0 | loss: 0.10900 | time elapsed: 00h21m57s | time left: 11h46m30s
epoch   0 | batch   2250 | examples/s:  23.7 | loss: 0.11158 | time elapsed: 00h24m33s | time left: 11h39m45s
epoch   0 | batch   2500 | examples/s:  23.5 | loss: 0.10288 | time elapsed: 00h27m10s | time left: 11h33m59s
epoch   0 | batch   2750 | examples/s:  34.9 | loss: 0.11547 | time elapsed: 00h29m49s | time left: 11h29m43s
epoch   0 | batch   3000 | examples/s:  23.6 | loss: 0.09302 | time elapsed: 00h32m29s | time left: 11h26m10s
epoch   0 | batch   3250 | examples/s:  34.3 | loss: 0.09421 | time elapsed: 00h35m08s | time left: 11h22m08s
epoch   1 | batch      0 | examples/s:  13.4 | loss: 0.09340 | time elapsed: 00h36m31s | time left: 11h34m03s
epoch   1 | batch    250 | examples/s:  23.3 | loss: 0.09769 | time elapsed: 00h39m06s | time left: 11h28m21s
epoch   1 | batch    500 | examples/s:  34.8 | loss: 0.09354 | time elapsed: 00h41m42s | time left: 11h23m07s
epoch   1 | batch    750 | examples/s:  35.8 | loss: 0.09739 | time elapsed: 00h44m19s | time left: 11h18m38s
epoch   1 | batch   1000 | examples/s:  24.0 | loss: 0.08925 | time elapsed: 00h46m57s | time left: 11h14m44s
epoch   1 | batch   1250 | examples/s:  23.6 | loss: 0.09165 | time elapsed: 00h49m33s | time left: 11h10m24s
epoch   1 | batch   1500 | examples/s:  24.2 | loss: 0.08321 | time elapsed: 00h52m09s | time left: 11h06m14s
epoch   1 | batch   1750 | examples/s:  24.4 | loss: 0.09996 | time elapsed: 00h54m47s | time left: 11h02m40s
epoch   1 | batch   2000 | examples/s:  22.8 | loss: 0.10168 | time elapsed: 00h57m25s | time left: 10h59m08s
epoch   1 | batch   2250 | examples/s:  24.0 | loss: 0.08503 | time elapsed: 01h00m00s | time left: 10h55m01s
epoch   1 | batch   2500 | examples/s:  23.9 | loss: 0.11570 | time elapsed: 01h02m37s | time left: 10h51m31s
epoch   1 | batch   2750 | examples/s:  23.5 | loss: 0.10901 | time elapsed: 01h05m09s | time left: 10h47m17s
epoch   1 | batch   3000 | examples/s:  22.9 | loss: 0.08966 | time elapsed: 01h07m47s | time left: 10h44m10s
epoch   1 | batch   3250 | examples/s:  23.2 | loss: 0.08744 | time elapsed: 01h10m23s | time left: 10h40m41s
epoch   2 | batch      0 | examples/s:  19.0 | loss: 0.09094 | time elapsed: 01h11m43s | time left: 10h45m34s
epoch   2 | batch    250 | examples/s:  34.9 | loss: 0.07941 | time elapsed: 01h14m24s | time left: 10h42m39s
epoch   2 | batch    500 | examples/s:  33.8 | loss: 0.09775 | time elapsed: 01h17m03s | time left: 10h39m29s
epoch   2 | batch    750 | examples/s:  23.9 | loss: 0.08220 | time elapsed: 01h19m40s | time left: 10h36m08s
epoch   2 | batch   1000 | examples/s:  22.9 | loss: 0.09899 | time elapsed: 01h22m18s | time left: 10h32m53s
epoch   2 | batch   1250 | examples/s:  23.7 | loss: 0.09304 | time elapsed: 01h24m55s | time left: 10h29m41s
epoch   2 | batch   1500 | examples/s:  23.3 | loss: 0.08652 | time elapsed: 01h27m29s | time left: 10h26m02s
epoch   2 | batch   1750 | examples/s:  23.2 | loss: 0.09548 | time elapsed: 01h30m06s | time left: 10h22m53s
epoch   2 | batch   2000 | examples/s:  34.8 | loss: 0.08259 | time elapsed: 01h32m40s | time left: 10h19m22s
epoch   2 | batch   2250 | examples/s:  28.3 | loss: 0.08271 | time elapsed: 01h35m16s | time left: 10h16m13s
epoch   2 | batch   2500 | examples/s:  23.4 | loss: 0.08394 | time elapsed: 01h37m52s | time left: 10h12m57s
epoch   2 | batch   2750 | examples/s:  24.2 | loss: 0.08632 | time elapsed: 01h40m25s | time left: 10h09m33s
epoch   2 | batch   3000 | examples/s:  23.5 | loss: 0.10881 | time elapsed: 01h43m04s | time left: 10h06m41s
epoch   2 | batch   3250 | examples/s:  23.5 | loss: 0.08682 | time elapsed: 01h45m40s | time left: 10h03m38s
epoch   3 | batch      0 | examples/s:  13.7 | loss: 0.07454 | time elapsed: 01h47m03s | time left: 10h06m39s
epoch   3 | batch    250 | examples/s:  34.2 | loss: 0.07890 | time elapsed: 01h49m31s | time left: 10h02m47s
epoch   3 | batch    500 | examples/s:  23.4 | loss: 0.09289 | time elapsed: 01h52m03s | time left: 09h59m13s
epoch   3 | batch    750 | examples/s:  23.4 | loss: 0.09228 | time elapsed: 01h54m40s | time left: 09h56m16s
epoch   3 | batch   1000 | examples/s:  23.6 | loss: 0.07340 | time elapsed: 01h57m17s | time left: 09h53m15s
epoch   3 | batch   1250 | examples/s:  23.0 | loss: 0.07124 | time elapsed: 01h59m54s | time left: 09h50m14s
epoch   3 | batch   1500 | examples/s:  24.4 | loss: 0.08491 | time elapsed: 02h02m29s | time left: 09h47m08s
epoch   3 | batch   1750 | examples/s:  23.5 | loss: 0.07596 | time elapsed: 02h05m04s | time left: 09h44m04s
epoch   3 | batch   2000 | examples/s:  22.9 | loss: 0.08104 | time elapsed: 02h07m39s | time left: 09h40m57s
epoch   3 | batch   2250 | examples/s:  22.8 | loss: 0.09069 | time elapsed: 02h10m17s | time left: 09h38m10s
epoch   3 | batch   2500 | examples/s:  23.6 | loss: 0.08478 | time elapsed: 02h12m53s | time left: 09h35m11s
epoch   3 | batch   2750 | examples/s:  23.5 | loss: 0.08855 | time elapsed: 02h15m30s | time left: 09h32m18s
epoch   3 | batch   3000 | examples/s:  34.8 | loss: 0.08562 | time elapsed: 02h18m09s | time left: 09h29m33s
epoch   3 | batch   3250 | examples/s:  24.2 | loss: 0.06515 | time elapsed: 02h20m49s | time left: 09h26m51s
epoch   4 | batch      0 | examples/s:  11.4 | loss: 0.08391 | time elapsed: 02h22m09s | time left: 09h28m39s
epoch   4 | batch    250 | examples/s:  23.4 | loss: 0.08645 | time elapsed: 02h24m40s | time left: 09h25m20s
epoch   4 | batch    500 | examples/s:  23.7 | loss: 0.07683 | time elapsed: 02h27m17s | time left: 09h22m25s
epoch   4 | batch    750 | examples/s:  35.4 | loss: 0.07738 | time elapsed: 02h29m54s | time left: 09h19m30s
epoch   4 | batch   1000 | examples/s:  23.6 | loss: 0.09007 | time elapsed: 02h32m31s | time left: 09h16m39s
epoch   4 | batch   1250 | examples/s:  23.6 | loss: 0.09082 | time elapsed: 02h35m07s | time left: 09h13m42s
epoch   4 | batch   1500 | examples/s:  34.8 | loss: 0.06380 | time elapsed: 02h37m42s | time left: 09h10m42s
epoch   4 | batch   1750 | examples/s:  34.8 | loss: 0.08853 | time elapsed: 02h40m17s | time left: 09h07m47s
epoch   4 | batch   2000 | examples/s:  23.5 | loss: 0.07500 | time elapsed: 02h42m54s | time left: 09h04m56s
epoch   4 | batch   2250 | examples/s:  23.6 | loss: 0.08308 | time elapsed: 02h45m33s | time left: 09h02m11s
epoch   4 | batch   2500 | examples/s:  23.4 | loss: 0.06365 | time elapsed: 02h48m11s | time left: 08h59m26s
epoch   4 | batch   2750 | examples/s:  23.6 | loss: 0.08070 | time elapsed: 02h50m50s | time left: 08h56m41s
epoch   4 | batch   3000 | examples/s:  23.6 | loss: 0.06728 | time elapsed: 02h53m28s | time left: 08h53m56s
epoch   4 | batch   3250 | examples/s:  34.0 | loss: 0.07131 | time elapsed: 02h56m07s | time left: 08h51m13s
epoch   5 | batch      0 | examples/s:  17.6 | loss: 0.09437 | time elapsed: 02h57m25s | time left: 08h52m16s
epoch   5 | batch    250 | examples/s:  24.1 | loss: 0.07860 | time elapsed: 03h00m01s | time left: 08h49m21s
epoch   5 | batch    500 | examples/s:  23.5 | loss: 0.09321 | time elapsed: 03h02m38s | time left: 08h46m32s
epoch   5 | batch    750 | examples/s:  23.6 | loss: 0.09307 | time elapsed: 03h05m15s | time left: 08h43m41s
epoch   5 | batch   1000 | examples/s:  33.8 | loss: 0.07542 | time elapsed: 03h07m49s | time left: 08h40m46s
epoch   5 | batch   1250 | examples/s:  23.4 | loss: 0.07953 | time elapsed: 03h10m25s | time left: 08h37m52s
epoch   5 | batch   1500 | examples/s:  23.5 | loss: 0.07374 | time elapsed: 03h13m00s | time left: 08h34m58s
epoch   5 | batch   1750 | examples/s:  24.2 | loss: 0.08131 | time elapsed: 03h15m37s | time left: 08h32m12s
epoch   5 | batch   2000 | examples/s:  23.5 | loss: 0.07272 | time elapsed: 03h18m17s | time left: 08h29m31s
epoch   5 | batch   2250 | examples/s:  23.3 | loss: 0.09684 | time elapsed: 03h20m57s | time left: 08h26m49s
epoch   5 | batch   2500 | examples/s:  34.7 | loss: 0.07048 | time elapsed: 03h23m33s | time left: 08h24m01s
epoch   5 | batch   2750 | examples/s:  33.2 | loss: 0.07791 | time elapsed: 03h26m10s | time left: 08h21m13s
epoch   5 | batch   3000 | examples/s:  23.5 | loss: 0.07914 | time elapsed: 03h28m45s | time left: 08h18m21s
epoch   5 | batch   3250 | examples/s:  23.5 | loss: 0.09092 | time elapsed: 03h31m23s | time left: 08h15m37s
epoch   6 | batch      0 | examples/s:  22.2 | loss: 0.08025 | time elapsed: 03h32m45s | time left: 08h16m25s
epoch   6 | batch    250 | examples/s:  22.9 | loss: 0.07537 | time elapsed: 03h35m20s | time left: 08h13m32s
epoch   6 | batch    500 | examples/s:  23.5 | loss: 0.08408 | time elapsed: 03h37m56s | time left: 08h10m44s
epoch   6 | batch    750 | examples/s:  24.2 | loss: 0.07798 | time elapsed: 03h40m33s | time left: 08h07m55s
epoch   6 | batch   1000 | examples/s:  23.1 | loss: 0.07492 | time elapsed: 03h43m10s | time left: 08h05m09s
epoch   6 | batch   1250 | examples/s:  23.6 | loss: 0.08010 | time elapsed: 03h45m45s | time left: 08h02m18s
epoch   6 | batch   1500 | examples/s:  24.2 | loss: 0.08801 | time elapsed: 03h48m23s | time left: 07h59m33s
epoch   6 | batch   1750 | examples/s:  24.3 | loss: 0.06772 | time elapsed: 03h51m00s | time left: 07h56m47s
epoch   6 | batch   2000 | examples/s:  23.9 | loss: 0.08624 | time elapsed: 03h53m37s | time left: 07h53m59s
epoch   6 | batch   2250 | examples/s:  32.5 | loss: 0.09014 | time elapsed: 03h56m14s | time left: 07h51m13s
epoch   6 | batch   2500 | examples/s:  23.6 | loss: 0.08201 | time elapsed: 03h58m51s | time left: 07h48m29s
epoch   6 | batch   2750 | examples/s:  23.5 | loss: 0.07243 | time elapsed: 04h01m28s | time left: 07h45m43s
epoch   6 | batch   3000 | examples/s:  24.0 | loss: 0.08043 | time elapsed: 04h04m05s | time left: 07h42m57s
epoch   6 | batch   3250 | examples/s:  23.6 | loss: 0.06934 | time elapsed: 04h06m41s | time left: 07h40m11s
epoch   7 | batch      0 | examples/s:  13.9 | loss: 0.08771 | time elapsed: 04h08m03s | time left: 07h40m40s
epoch   7 | batch    250 | examples/s:  23.6 | loss: 0.07195 | time elapsed: 04h10m36s | time left: 07h37m46s
epoch   7 | batch    500 | examples/s:  23.6 | loss: 0.05925 | time elapsed: 04h13m11s | time left: 07h34m58s
epoch   7 | batch    750 | examples/s:  23.3 | loss: 0.06719 | time elapsed: 04h15m47s | time left: 07h32m10s
epoch   7 | batch   1000 | examples/s:  24.4 | loss: 0.07146 | time elapsed: 04h18m23s | time left: 07h29m23s
epoch   7 | batch   1250 | examples/s:  23.3 | loss: 0.06902 | time elapsed: 04h21m02s | time left: 07h26m41s
epoch   7 | batch   1500 | examples/s:  22.8 | loss: 0.06751 | time elapsed: 04h23m40s | time left: 07h23m57s
epoch   7 | batch   1750 | examples/s:  23.6 | loss: 0.07700 | time elapsed: 04h26m18s | time left: 07h21m14s
epoch   7 | batch   2000 | examples/s:  23.6 | loss: 0.07539 | time elapsed: 04h28m56s | time left: 07h18m30s
epoch   7 | batch   2250 | examples/s:  23.0 | loss: 0.08272 | time elapsed: 04h31m30s | time left: 07h15m41s
epoch   7 | batch   2500 | examples/s:  23.5 | loss: 0.08062 | time elapsed: 04h34m03s | time left: 07h12m51s
epoch   7 | batch   2750 | examples/s:  23.0 | loss: 0.07243 | time elapsed: 04h36m39s | time left: 07h10m05s
epoch   7 | batch   3000 | examples/s:  23.6 | loss: 0.08301 | time elapsed: 04h39m13s | time left: 07h07m16s
epoch   7 | batch   3250 | examples/s:  23.6 | loss: 0.07988 | time elapsed: 04h41m50s | time left: 07h04m32s
epoch   8 | batch      0 | examples/s:  15.6 | loss: 0.06637 | time elapsed: 04h43m11s | time left: 07h04m47s
epoch   8 | batch    250 | examples/s:  32.5 | loss: 0.07265 | time elapsed: 04h45m51s | time left: 07h02m07s
epoch   8 | batch    500 | examples/s:  23.5 | loss: 0.08483 | time elapsed: 04h48m26s | time left: 06h59m19s
epoch   8 | batch    750 | examples/s:  23.5 | loss: 0.07310 | time elapsed: 04h51m02s | time left: 06h56m33s
epoch   8 | batch   1000 | examples/s:  23.5 | loss: 0.08832 | time elapsed: 04h53m38s | time left: 06h53m47s
epoch   8 | batch   1250 | examples/s:  23.5 | loss: 0.07929 | time elapsed: 04h56m14s | time left: 06h51m03s
epoch   8 | batch   1500 | examples/s:  23.6 | loss: 0.06695 | time elapsed: 04h58m51s | time left: 06h48m18s
epoch   8 | batch   1750 | examples/s:  23.4 | loss: 0.06496 | time elapsed: 05h01m29s | time left: 06h45m35s
epoch   8 | batch   2000 | examples/s:  23.5 | loss: 0.07614 | time elapsed: 05h04m05s | time left: 06h42m51s
epoch   8 | batch   2250 | examples/s:  23.7 | loss: 0.07414 | time elapsed: 05h06m40s | time left: 06h40m05s
epoch   8 | batch   2500 | examples/s:  23.6 | loss: 0.07360 | time elapsed: 05h09m16s | time left: 06h37m21s
epoch   8 | batch   2750 | examples/s:  22.9 | loss: 0.08306 | time elapsed: 05h11m52s | time left: 06h34m36s
epoch   8 | batch   3000 | examples/s:  24.3 | loss: 0.07525 | time elapsed: 05h14m31s | time left: 06h31m54s
epoch   8 | batch   3250 | examples/s:  23.6 | loss: 0.07737 | time elapsed: 05h17m07s | time left: 06h29m10s
epoch   9 | batch      0 | examples/s:  17.0 | loss: 0.06166 | time elapsed: 05h18m27s | time left: 06h29m13s
epoch   9 | batch    250 | examples/s:  35.3 | loss: 0.05825 | time elapsed: 05h21m06s | time left: 06h26m32s
epoch   9 | batch    500 | examples/s:  23.5 | loss: 0.06653 | time elapsed: 05h23m42s | time left: 06h23m47s
epoch   9 | batch    750 | examples/s:  23.4 | loss: 0.07931 | time elapsed: 05h26m18s | time left: 06h21m03s
epoch   9 | batch   1000 | examples/s:  36.0 | loss: 0.07168 | time elapsed: 05h28m53s | time left: 06h18m17s
epoch   9 | batch   1250 | examples/s:  23.6 | loss: 0.07453 | time elapsed: 05h31m34s | time left: 06h15m39s
epoch   9 | batch   1500 | examples/s:  34.0 | loss: 0.08268 | time elapsed: 05h34m11s | time left: 06h12m55s
epoch   9 | batch   1750 | examples/s:  22.8 | loss: 0.06654 | time elapsed: 05h36m46s | time left: 06h10m09s
epoch   9 | batch   2000 | examples/s:  24.4 | loss: 0.06871 | time elapsed: 05h39m20s | time left: 06h07m24s
epoch   9 | batch   2250 | examples/s:  23.7 | loss: 0.08203 | time elapsed: 05h41m56s | time left: 06h04m40s
epoch   9 | batch   2500 | examples/s:  33.3 | loss: 0.07393 | time elapsed: 05h44m31s | time left: 06h01m55s
epoch   9 | batch   2750 | examples/s:  24.2 | loss: 0.08055 | time elapsed: 05h47m06s | time left: 05h59m10s
epoch   9 | batch   3000 | examples/s:  23.7 | loss: 0.07707 | time elapsed: 05h49m42s | time left: 05h56m27s
epoch   9 | batch   3250 | examples/s:  23.6 | loss: 0.08143 | time elapsed: 05h52m18s | time left: 05h53m44s
epoch  10 | batch      0 | examples/s:  19.7 | loss: 0.06357 | time elapsed: 05h53m40s | time left: 05h53m40s
epoch  10 | batch    250 | examples/s:  23.9 | loss: 0.06842 | time elapsed: 05h56m16s | time left: 05h50m56s
epoch  10 | batch    500 | examples/s:  22.7 | loss: 0.06689 | time elapsed: 05h58m53s | time left: 05h48m13s
epoch  10 | batch    750 | examples/s:  23.7 | loss: 0.07105 | time elapsed: 06h01m32s | time left: 05h45m33s
epoch  10 | batch   1000 | examples/s:  32.7 | loss: 0.08027 | time elapsed: 06h04m09s | time left: 05h42m50s
epoch  10 | batch   1250 | examples/s:  24.0 | loss: 0.07520 | time elapsed: 06h06m42s | time left: 05h40m04s
epoch  10 | batch   1500 | examples/s:  34.6 | loss: 0.07400 | time elapsed: 06h09m18s | time left: 05h37m21s
epoch  10 | batch   1750 | examples/s:  23.5 | loss: 0.07309 | time elapsed: 06h11m55s | time left: 05h34m38s
epoch  10 | batch   2000 | examples/s:  23.4 | loss: 0.06079 | time elapsed: 06h14m31s | time left: 05h31m55s
epoch  10 | batch   2250 | examples/s:  22.9 | loss: 0.08056 | time elapsed: 06h17m11s | time left: 05h29m15s
epoch  10 | batch   2500 | examples/s:  23.8 | loss: 0.07310 | time elapsed: 06h19m48s | time left: 05h26m34s
epoch  10 | batch   2750 | examples/s:  23.6 | loss: 0.08585 | time elapsed: 06h22m29s | time left: 05h23m55s
epoch  10 | batch   3000 | examples/s:  23.5 | loss: 0.07330 | time elapsed: 06h25m07s | time left: 05h21m14s
epoch  10 | batch   3250 | examples/s:  23.5 | loss: 0.07186 | time elapsed: 06h27m41s | time left: 05h18m30s
epoch  11 | batch      0 | examples/s:  13.7 | loss: 0.08003 | time elapsed: 06h29m05s | time left: 05h18m20s
epoch  11 | batch    250 | examples/s:  23.6 | loss: 0.07410 | time elapsed: 06h31m37s | time left: 05h15m34s
epoch  11 | batch    500 | examples/s:  23.5 | loss: 0.07713 | time elapsed: 06h34m12s | time left: 05h12m50s
epoch  11 | batch    750 | examples/s:  32.7 | loss: 0.06200 | time elapsed: 06h36m49s | time left: 05h10m08s
epoch  11 | batch   1000 | examples/s:  22.9 | loss: 0.06168 | time elapsed: 06h39m26s | time left: 05h07m26s
epoch  11 | batch   1250 | examples/s:  23.6 | loss: 0.07962 | time elapsed: 06h42m01s | time left: 05h04m43s
epoch  11 | batch   1500 | examples/s:  23.7 | loss: 0.07173 | time elapsed: 06h44m38s | time left: 05h02m00s
epoch  11 | batch   1750 | examples/s:  34.3 | loss: 0.06558 | time elapsed: 06h47m13s | time left: 04h59m18s
epoch  11 | batch   2000 | examples/s:  23.0 | loss: 0.06949 | time elapsed: 06h49m49s | time left: 04h56m35s
epoch  11 | batch   2250 | examples/s:  23.4 | loss: 0.06791 | time elapsed: 06h52m27s | time left: 04h53m54s
epoch  11 | batch   2500 | examples/s:  33.2 | loss: 0.07903 | time elapsed: 06h55m05s | time left: 04h51m13s
epoch  11 | batch   2750 | examples/s:  23.0 | loss: 0.07071 | time elapsed: 06h57m39s | time left: 04h48m30s
epoch  11 | batch   3000 | examples/s:  23.6 | loss: 0.07094 | time elapsed: 07h00m14s | time left: 04h45m46s
epoch  11 | batch   3250 | examples/s:  23.6 | loss: 0.07028 | time elapsed: 07h02m51s | time left: 04h43m05s
epoch  12 | batch      0 | examples/s:  16.3 | loss: 0.07526 | time elapsed: 07h04m10s | time left: 04h42m47s
epoch  12 | batch    250 | examples/s:  23.7 | loss: 0.07251 | time elapsed: 07h06m49s | time left: 04h40m06s
epoch  12 | batch    500 | examples/s:  23.5 | loss: 0.06726 | time elapsed: 07h09m24s | time left: 04h37m23s
epoch  12 | batch    750 | examples/s:  23.6 | loss: 0.07541 | time elapsed: 07h12m01s | time left: 04h34m41s
epoch  12 | batch   1000 | examples/s:  32.9 | loss: 0.08163 | time elapsed: 07h14m38s | time left: 04h32m00s
epoch  12 | batch   1250 | examples/s:  23.6 | loss: 0.07791 | time elapsed: 07h17m15s | time left: 04h29m18s
epoch  12 | batch   1500 | examples/s:  22.7 | loss: 0.06461 | time elapsed: 07h19m50s | time left: 04h26m36s
epoch  12 | batch   1750 | examples/s:  23.5 | loss: 0.07003 | time elapsed: 07h22m29s | time left: 04h23m56s
epoch  12 | batch   2000 | examples/s:  23.2 | loss: 0.08021 | time elapsed: 07h25m06s | time left: 04h21m14s
epoch  12 | batch   2250 | examples/s:  23.6 | loss: 0.07497 | time elapsed: 07h27m43s | time left: 04h18m33s
epoch  12 | batch   2500 | examples/s:  23.7 | loss: 0.07223 | time elapsed: 07h30m22s | time left: 04h15m53s
epoch  12 | batch   2750 | examples/s:  23.2 | loss: 0.06969 | time elapsed: 07h32m56s | time left: 04h13m10s
epoch  12 | batch   3000 | examples/s:  23.6 | loss: 0.07694 | time elapsed: 07h35m35s | time left: 04h10m30s
epoch  12 | batch   3250 | examples/s:  23.6 | loss: 0.06772 | time elapsed: 07h38m16s | time left: 04h07m51s
epoch  13 | batch      0 | examples/s:  13.5 | loss: 0.07513 | time elapsed: 07h39m37s | time left: 04h07m29s
epoch  13 | batch    250 | examples/s:  24.2 | loss: 0.07704 | time elapsed: 07h42m11s | time left: 04h04m46s
epoch  13 | batch    500 | examples/s:  23.5 | loss: 0.07462 | time elapsed: 07h44m43s | time left: 04h02m02s
epoch  13 | batch    750 | examples/s:  24.2 | loss: 0.07745 | time elapsed: 07h47m16s | time left: 03h59m19s
epoch  13 | batch   1000 | examples/s:  23.6 | loss: 0.07665 | time elapsed: 07h49m49s | time left: 03h56m35s
epoch  13 | batch   1250 | examples/s:  24.4 | loss: 0.07022 | time elapsed: 07h52m27s | time left: 03h53m55s
epoch  13 | batch   1500 | examples/s:  23.3 | loss: 0.07344 | time elapsed: 07h55m05s | time left: 03h51m15s
epoch  13 | batch   1750 | examples/s:  23.6 | loss: 0.07246 | time elapsed: 07h57m39s | time left: 03h48m32s
epoch  13 | batch   2000 | examples/s:  22.9 | loss: 0.05500 | time elapsed: 08h00m18s | time left: 03h45m52s
epoch  13 | batch   2250 | examples/s:  24.2 | loss: 0.06221 | time elapsed: 08h02m59s | time left: 03h43m13s
epoch  13 | batch   2500 | examples/s:  23.5 | loss: 0.08057 | time elapsed: 08h05m36s | time left: 03h40m32s
epoch  13 | batch   2750 | examples/s:  22.8 | loss: 0.06231 | time elapsed: 08h08m13s | time left: 03h37m51s
epoch  13 | batch   3000 | examples/s:  23.2 | loss: 0.06332 | time elapsed: 08h11m07s | time left: 03h35m18s
epoch  13 | batch   3250 | examples/s:  23.5 | loss: 0.06135 | time elapsed: 08h14m01s | time left: 03h32m44s
epoch  14 | batch      0 | examples/s:   8.9 | loss: 0.07083 | time elapsed: 08h15m27s | time left: 03h32m20s
epoch  14 | batch    250 | examples/s:  23.1 | loss: 0.05920 | time elapsed: 08h18m16s | time left: 03h29m44s
epoch  14 | batch    500 | examples/s:  22.9 | loss: 0.06068 | time elapsed: 08h21m02s | time left: 03h27m06s
epoch  14 | batch    750 | examples/s:  23.4 | loss: 0.06111 | time elapsed: 08h23m42s | time left: 03h24m26s
epoch  14 | batch   1000 | examples/s:  23.7 | loss: 0.07444 | time elapsed: 08h26m19s | time left: 03h21m44s
epoch  14 | batch   1250 | examples/s:  23.6 | loss: 0.06931 | time elapsed: 08h28m53s | time left: 03h19m02s
epoch  14 | batch   1500 | examples/s:  24.0 | loss: 0.07337 | time elapsed: 08h31m31s | time left: 03h16m21s
epoch  14 | batch   1750 | examples/s:  23.6 | loss: 0.07199 | time elapsed: 08h34m08s | time left: 03h13m40s
epoch  14 | batch   2000 | examples/s:  34.5 | loss: 0.06803 | time elapsed: 08h36m43s | time left: 03h10m58s
epoch  14 | batch   2250 | examples/s:  26.1 | loss: 0.05561 | time elapsed: 08h39m19s | time left: 03h08m16s
epoch  14 | batch   2500 | examples/s:  23.4 | loss: 0.07022 | time elapsed: 08h41m54s | time left: 03h05m35s
epoch  14 | batch   2750 | examples/s:  23.7 | loss: 0.07293 | time elapsed: 08h44m32s | time left: 03h02m54s
epoch  14 | batch   3000 | examples/s:  23.4 | loss: 0.07087 | time elapsed: 08h47m10s | time left: 03h00m14s
epoch  14 | batch   3250 | examples/s:  33.7 | loss: 0.06423 | time elapsed: 08h49m47s | time left: 02h57m32s
epoch  15 | batch      0 | examples/s:  11.8 | loss: 0.06288 | time elapsed: 08h51m08s | time left: 02h57m02s
epoch  15 | batch    250 | examples/s:  23.2 | loss: 0.06443 | time elapsed: 08h53m43s | time left: 02h54m21s
epoch  15 | batch    500 | examples/s:  23.9 | loss: 0.05947 | time elapsed: 08h56m20s | time left: 02h51m39s
epoch  15 | batch    750 | examples/s:  25.5 | loss: 0.06970 | time elapsed: 08h58m58s | time left: 02h48m59s
epoch  15 | batch   1000 | examples/s:  23.9 | loss: 0.06611 | time elapsed: 09h01m35s | time left: 02h46m18s
epoch  15 | batch   1250 | examples/s:  23.9 | loss: 0.06884 | time elapsed: 09h04m07s | time left: 02h43m35s
epoch  15 | batch   1500 | examples/s:  23.2 | loss: 0.07481 | time elapsed: 09h06m42s | time left: 02h40m54s
epoch  15 | batch   1750 | examples/s:  23.2 | loss: 0.06397 | time elapsed: 09h09m18s | time left: 02h38m13s
epoch  15 | batch   2000 | examples/s:  23.9 | loss: 0.05866 | time elapsed: 09h11m55s | time left: 02h35m32s
epoch  15 | batch   2250 | examples/s:  33.3 | loss: 0.06497 | time elapsed: 09h14m29s | time left: 02h32m50s
epoch  15 | batch   2500 | examples/s:  33.2 | loss: 0.06521 | time elapsed: 09h17m05s | time left: 02h30m09s
epoch  15 | batch   2750 | examples/s:  23.9 | loss: 0.06739 | time elapsed: 09h19m37s | time left: 02h27m27s
epoch  15 | batch   3000 | examples/s:  23.9 | loss: 0.06622 | time elapsed: 09h22m13s | time left: 02h24m46s
epoch  15 | batch   3250 | examples/s:  23.2 | loss: 0.06764 | time elapsed: 09h24m50s | time left: 02h22m06s
